,gene_symbol,length,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSGDEMO000036,GENE0036,1895,13,52,96,259,66,412
ENSGDEMO000037,GENE0037,5727,51,28,40,255,62,185
ENSGDEMO000038,GENE0038,2938,178,160,252,205,461,484
ENSGDEMO000039,GENE0039,6050,24,29,18,114,94,129
ENSGDEMO000040,GENE0040,1622,68,100,47,174,109,163
ENSGDEMO000041,GENE0041,910,22,56,21,320,141,163
ENSGDEMO000042,GENE0042,2473,13,25,37,41,38,78
ENSGDEMO000043,GENE0043,6681,392,317,222,1612,282,385
ENSGDEMO000044,GENE0044,2696,355,238,306,857,663,1021
ENSGDEMO000045,GENE0045,4982,12,27,16,63,77,86
ENSGDEMO000046,GENE0046,1560,339,254,368,1826,491,317
ENSGDEMO000047,GENE0047,4639,545,296,649,2019,711,2237
ENSGDEMO000048,GENE0048,3253,6,10,9,19,10,17
ENSGDEMO000049,GENE0049,3672,410,234,299,565,442,965
ENSGDEMO000050,GENE0050,3634,36,60,29,64,25,71
ENSGDEMO000051,GENE0051,4591,287,218,303,1463,653,770
ENSGDEMO000052,GENE0052,5548,223,251,468,2006,498,1357
ENSGDEMO000053,GENE0053,1873,12,10,9,19,9,38
ENSGDEMO000054,GENE0054,5416,78,89,85,138,115,209
ENSGDEMO000055,GENE0055,4674,49,52,28,154,100,208
ENSGDEMO000056,GENE0056,1151,156,343,815,830,1280,1078
ENSGDEMO000057,GENE0057,1320,4,9,4,8,13,8
ENSGDEMO000058,GENE0058,5308,204,114,247,627,126,518
ENSGDEMO000059,GENE0059,1293,51,92,116,149,131,375
ENSGDEMO000060,GENE0060,5842,157,224,264,610,547,657
ENSGDEMO000061,GENE0061,1538,29,35,18,31,8,15
ENSGDEMO000062,GENE0062,1877,272,517,351,169,176,508
ENSGDEMO000063,GENE0063,1205,66,36,36,13,8,15
ENSGDEMO000064,GENE0064,3020,18,88,49,41,14,83
ENSGDEMO000065,GENE0065,7541,26,42,25,16,12,18
ENSGDEMO000066,GENE0066,2558,288,185,482,103,79,137
ENSGDEMO000067,GENE0067,2462,4,12,5,1,1,0
ENSGDEMO000068,GENE0068,2585,98,301,236,60,43,66
ENSGDEMO000069,GENE0069,5458,260,258,170,148,60,118
ENSGDEMO000070,GENE0070,7229,260,179,364,177,63,201
ENSGDEMO000071,GENE0071,7704,26,38,51,35,8,35
ENSGDEMO000072,GENE0072,2555,293,144,209,106,71,55
ENSGDEMO000073,GENE0073,1406,59,167,380,75,65,118
ENSGDEMO000074,GENE0074,2923,68,73,95,37,13,114
ENSGDEMO000075,GENE0075,1808,169,627,201,99,91,168
ENSGDEMO000076,GENE0076,7258,328,313,153,173,86,118
ENSGDEMO000077,GENE0077,1191,103,190,77,51,35,30
ENSGDEMO000078,GENE0078,3589,31,72,48,37,17,11
ENSGDEMO000079,GENE0079,2538,201,251,147,72,161,55
ENSGDEMO000080,GENE0080,1076,11,3,15,6,2,8
ENSGDEMO000081,GENE0081,4356,151,122,131,166,62,126
ENSGDEMO000082,GENE0082,7037,234,149,308,154,89,118
ENSGDEMO000083,GENE0083,6635,76,74,58,58,22,77
ENSGDEMO000084,GENE0084,5605,20,13,21,5,9,11
ENSGDEMO000085,GENE0085,1417,79,128,55,60,47,128
ENSGDEMO000086,GENE0086,7389,415,352,345,221,78,76
ENSGDEMO000087,GENE0087,5542,157,377,107,188,89,112
ENSGDEMO000088,GENE0088,6725,276,328,176,193,153,144
ENSGDEMO000089,GENE0089,3648,96,98,192,33,80,67
ENSGDEMO000090,GENE0090,2631,34,30,28,41,15,7
ENSGDEMO000091,GENE0091,2532,36,100,105,47,26,52
ENSGDEMO000092,GENE0092,1779,57,104,189,128,147,57
ENSGDEMO000093,GENE0093,4293,125,434,109,104,125,103
ENSGDEMO000094,GENE0094,6989,8,10,28,9,12,13
ENSGDEMO000095,GENE0095,1247,95,131,48,87,31,43
ENSGDEMO000096,GENE0096,2270,19,28,11,5,4,10
ENSGDEMO000097,GENE0097,5227,147,268,87,61,46,52
ENSGDEMO000098,GENE0098,4439,7,16,5,7,10,3
ENSGDEMO000099,GENE0099,7862,15,23,12,3,3,5
ENSGDEMO000100,GENE0100,2675,145,188,177,64,29,36
ENSGDEMO000101,GENE0101,7842,146,54,44,55,35,92
ENSGDEMO000102,GENE0102,1344,33,77,177,121,137,92
ENSGDEMO000103,GENE0103,2777,295,159,208,96,89,240
ENSGDEMO000104,GENE0104,3933,32,57,54,68,11,48
ENSGDEMO000105,GENE0105,4230,92,185,127,58,82,70
ENSGDEMO000106,GENE0106,3162,90,65,87,93,48,24
ENSGDEMO000107,GENE0107,7922,50,147,65,97,41,101
ENSGDEMO000108,GENE0108,4377,111,104,78,46,23,114
ENSGDEMO000109,GENE0109,4046,102,140,152,177,91,69
ENSGDEMO000110,GENE0110,7635,58,40,38,20,20,37
ENSGDEMO000111,GENE0111,3267,2,3,3,9,17,8
ENSGDEMO000112,GENE0112,4817,15,12,9,78,34,48
ENSGDEMO000113,GENE0113,7360,24,43,19,364,213,277
ENSGDEMO000114,GENE0114,2528,148,268,204,2232,1278,1783
ENSGDEMO000115,GENE0115,2103,85,90,120,631,416,334
ENSGDEMO000116,GENE0116,4967,33,37,12,268,175,46
ENSGDEMO000117,GENE0117,2420,137,162,146,2058,620,1369
ENSGDEMO000118,GENE0118,4260,227,390,469,2233,1453,2744
ENSGDEMO000119,GENE0119,6434,105,198,89,856,684,1523
ENSGDEMO000120,GENE0120,1474,145,315,114,864,622,2202
ENSGDEMO000121,GENE0121,5969,17,52,25,220,90,227
ENSGDEMO000122,GENE0122,1231,1,0,2,20,6,6
ENSGDEMO000123,GENE0123,2733,62,161,24,373,90,155
ENSGDEMO000124,GENE0124,1347,152,147,184,2526,922,1405
ENSGDEMO000125,GENE0125,6439,104,206,95,663,422,1516
ENSGDEMO000126,GENE0126,5695,225,175,92,181,92,271
ENSGDEMO000127,GENE0127,5805,49,31,70,60,58,82
ENSGDEMO000128,GENE0128,6667,141,108,70,271,178,365
ENSGDEMO000129,GENE0129,4036,25,82,74,53,23,88
ENSGDEMO000130,GENE0130,4806,37,37,21,58,79,19
ENSGDEMO000131,GENE0131,4603,165,247,202,249,119,151
ENSGDEMO000132,GENE0132,5208,101,96,73,97,68,85
ENSGDEMO000133,GENE0133,4422,156,493,175,497,84,260
ENSGDEMO000134,GENE0134,1567,15,10,9,12,4,15
ENSGDEMO000135,GENE0135,6725,77,101,49,109,23,30
ENSGDEMO000136,GENE0136,2138,102,252,269,468,367,126
ENSGDEMO000137,GENE0137,6342,39,65,35,54,37,49
ENSGDEMO000138,GENE0138,2494,46,75,63,131,79,88
ENSGDEMO000139,GENE0139,4026,109,47,83,119,72,184
ENSGDEMO000140,GENE0140,3637,115,134,156,304,141,111
ENSGDEMO000141,GENE0141,1539,8,18,31,23,19,20
ENSGDEMO000142,GENE0142,521,15,12,6,13,15,19
ENSGDEMO000143,GENE0143,3632,19,34,25,41,29,47
ENSGDEMO000144,GENE0144,4888,16,22,34,37,20,38
ENSGDEMO000145,GENE0145,2323,285,136,396,373,366,336
ENSGDEMO000146,GENE0146,923,172,124,140,123,99,49
ENSGDEMO000147,GENE0147,2846,46,103,43,128,84,38
ENSGDEMO000148,GENE0148,4760,50,73,56,81,11,25
ENSGDEMO000149,GENE0149,1182,452,219,385,82,256,320
ENSGDEMO000150,GENE0150,2997,63,121,77,218,53,72
ENSGDEMO000151,GENE0151,2315,0,0,1,0,0,1
ENSGDEMO000152,GENE0152,5574,281,288,575,322,46,178
ENSGDEMO000153,GENE0153,7126,23,15,25,31,34,56
ENSGDEMO000154,GENE0154,4297,113,188,149,137,203,135
ENSGDEMO000155,GENE0155,5229,972,1234,878,432,270,573
ENSGDEMO000156,GENE0156,4145,17,14,14,30,20,18
ENSGDEMO000157,GENE0157,1219,150,108,192,129,110,238
ENSGDEMO000158,GENE0158,6203,129,85,80,108,84,234
ENSGDEMO000159,GENE0159,4299,53,195,138,85,107,143
ENSGDEMO000160,GENE0160,3383,87,176,167,193,78,177
ENSGDEMO000161,GENE0161,880,144,284,313,672,351,300
ENSGDEMO000162,GENE0162,3063,7,8,4,19,4,10
ENSGDEMO000163,GENE0163,3244,235,268,394,384,413,247
ENSGDEMO000164,GENE0164,7731,117,290,278,221,320,240
ENSGDEMO000165,GENE0165,2185,64,27,117,113,65,55
ENSGDEMO000166,GENE0166,4782,20,55,91,217,104,52
ENSGDEMO000167,GENE0167,7936,22,28,54,65,39,108
ENSGDEMO000168,GENE0168,5346,22,26,12,30,28,35
ENSGDEMO000169,GENE0169,3873,25,28,73,82,19,82
ENSGDEMO000170,GENE0170,3166,395,646,526,846,608,610
ENSGDEMO000171,GENE0171,6890,45,107,33,98,39,138
ENSGDEMO000172,GENE0172,1630,88,91,90,109,94,149
ENSGDEMO000173,GENE0173,4737,128,162,227,171,116,128
ENSGDEMO000174,GENE0174,3364,334,201,302,490,366,406
ENSGDEMO000175,GENE0175,1246,57,48,42,53,27,79
ENSGDEMO000176,GENE0176,5175,2,0,0,0,0,0
ENSGDEMO000177,GENE0177,788,195,247,178,179,118,204
ENSGDEMO000178,GENE0178,5301,101,78,77,68,64,157
ENSGDEMO000179,GENE0179,2688,32,28,55,110,35,76
ENSGDEMO000180,GENE0180,6728,27,43,74,129,52,89
ENSGDEMO000181,GENE0181,2467,71,226,39,59,105,49
ENSGDEMO000182,GENE0182,5190,42,96,68,56,23,45
ENSGDEMO000183,GENE0183,765,219,102,161,220,55,163
ENSGDEMO000184,GENE0184,7551,97,205,229,278,189,284
ENSGDEMO000185,GENE0185,967,52,72,118,72,45,55
ENSGDEMO000186,GENE0186,2771,354,472,228,534,193,185
ENSGDEMO000187,GENE0187,2484,17,56,117,166,45,151
ENSGDEMO000188,GENE0188,6533,725,649,570,533,189,130
ENSGDEMO000189,GENE0189,7500,33,33,74,100,54,118
ENSGDEMO000190,GENE0190,6257,195,201,125,119,159,388
ENSGDEMO000191,GENE0191,5676,82,241,195,204,92,108
ENSGDEMO000192,GENE0192,5693,54,71,65,69,50,60
ENSGDEMO000193,GENE0193,1457,348,747,250,1023,204,338
ENSGDEMO000194,GENE0194,650,55,173,198,305,187,77
ENSGDEMO000195,GENE0195,3895,408,440,507,1188,349,489
ENSGDEMO000196,GENE0196,2418,40,70,61,62,22,39
ENSGDEMO000197,GENE0197,6210,22,57,19,89,82,80
ENSGDEMO000198,GENE0198,581,74,183,89,121,45,67
ENSGDEMO000199,GENE0199,809,93,386,325,294,270,334
ENSGDEMO000200,GENE0200,2706,128,234,237,258,144,140
ENSGDEMO000201,GENE0201,5859,232,98,184,169,228,114
ENSGDEMO000202,GENE0202,5254,58,366,112,383,341,81
ENSGDEMO000203,GENE0203,6830,10,3,5,12,5,7
ENSGDEMO000204,GENE0204,5408,12,35,11,24,39,22
ENSGDEMO000205,GENE0205,5948,54,42,81,99,45,35
ENSGDEMO000206,GENE0206,7610,89,410,147,155,101,180
ENSGDEMO000207,GENE0207,3641,454,795,144,331,81,642
ENSGDEMO000208,GENE0208,4886,26,89,67,206,65,61
ENSGDEMO000209,GENE0209,7773,270,275,252,422,272,444
ENSGDEMO000210,GENE0210,2991,89,68,34,166,64,55
ENSGDEMO000211,GENE0211,4334,65,188,136,80,75,152
ENSGDEMO000212,GENE0212,4481,88,193,147,109,104,349
ENSGDEMO000213,GENE0213,7262,95,83,52,180,167,162
ENSGDEMO000214,GENE0214,1634,226,1125,594,824,207,352
ENSGDEMO000215,GENE0215,7597,118,79,230,247,188,149
ENSGDEMO000216,GENE0216,634,125,110,176,223,130,162
ENSGDEMO000217,GENE0217,6698,127,164,141,127,40,247
ENSGDEMO000218,GENE0218,7705,28,50,36,28,36,40
ENSGDEMO000219,GENE0219,3255,86,83,98,129,86,73
ENSGDEMO000220,GENE0220,3497,455,275,238,479,223,258
ENSGDEMO000221,GENE0221,598,64,31,134,107,48,138
ENSGDEMO000222,GENE0222,565,276,627,414,448,182,630
ENSGDEMO000223,GENE0223,7811,413,104,400,505,798,1404
ENSGDEMO000224,GENE0224,6288,92,64,51,54,139,49
ENSGDEMO000225,GENE0225,1872,189,258,111,783,176,442
ENSGDEMO000226,GENE0226,1764,213,148,306,385,96,121
ENSGDEMO000227,GENE0227,4635,49,32,84,68,41,87
ENSGDEMO000228,GENE0228,5726,57,127,124,92,66,177
ENSGDEMO000229,GENE0229,3895,3,10,5,7,11,3
ENSGDEMO000230,GENE0230,538,44,80,36,39,21,123
ENSGDEMO000231,GENE0231,1279,16,29,27,30,8,35
ENSGDEMO000232,GENE0232,2408,182,438,126,921,262,523
ENSGDEMO000233,GENE0233,7056,88,184,108,203,93,118
ENSGDEMO000234,GENE0234,7797,149,210,133,179,90,284
ENSGDEMO000235,GENE0235,607,12,23,16,14,14,30
ENSGDEMO000236,GENE0236,7365,120,63,81,124,119,71
ENSGDEMO000237,GENE0237,2485,169,260,101,462,198,237
ENSGDEMO000238,GENE0238,7720,291,277,304,419,537,198
ENSGDEMO000239,GENE0239,4530,51,23,34,19,20,26
ENSGDEMO000240,GENE0240,4605,26,48,22,44,22,54
ENSGDEMO000241,GENE0241,1068,204,392,103,315,282,161
ENSGDEMO000242,GENE0242,7146,68,149,217,239,86,128
ENSGDEMO000243,GENE0243,703,20,34,15,56,20,14
ENSGDEMO000244,GENE0244,7810,64,104,122,122,97,275
ENSGDEMO000245,GENE0245,609,269,202,294,448,141,482
ENSGDEMO000246,GENE0246,7611,432,184,223,447,224,379
ENSGDEMO000247,GENE0247,3262,371,545,250,730,314,839
ENSGDEMO000248,GENE0248,7833,329,963,486,797,578,671
ENSGDEMO000249,GENE0249,2750,54,32,27,81,52,35
ENSGDEMO000250,GENE0250,1915,35,80,47,97,79,144
ENSGDEMO000251,GENE0251,5716,14,29,31,32,32,60
ENSGDEMO000252,GENE0252,1070,134,266,260,118,209,125
ENSGDEMO000253,GENE0253,6864,142,117,114,150,175,107
ENSGDEMO000254,GENE0254,4533,200,176,243,166,252,208
ENSGDEMO000255,GENE0255,7710,195,194,176,129,64,155
ENSGDEMO000256,GENE0256,5052,87,159,106,351,113,224
ENSGDEMO000257,GENE0257,3505,123,161,102,172,203,94
ENSGDEMO000258,GENE0258,5461,212,256,238,457,128,593
ENSGDEMO000259,GENE0259,1776,424,813,368,582,83,423
ENSGDEMO000260,GENE0260,4805,152,219,273,187,244,299
ENSGDEMO000261,GENE0261,7199,100,203,213,371,143,182
ENSGDEMO000262,GENE0262,5406,72,233,79,121,34,262
ENSGDEMO000263,GENE0263,5051,119,71,117,248,69,97
ENSGDEMO000264,GENE0264,1663,47,178,60,42,63,166
ENSGDEMO000265,GENE0265,4140,104,224,115,585,252,312
ENSGDEMO000266,GENE0266,810,71,92,27,111,67,53
ENSGDEMO000267,GENE0267,7619,62,117,62,129,65,118
ENSGDEMO000268,GENE0268,885,2,5,6,2,2,3
ENSGDEMO000269,GENE0269,6655,38,150,66,117,142,133
ENSGDEMO000270,GENE0270,931,31,194,182,241,144,86
ENSGDEMO000271,GENE0271,4027,107,125,63,298,137,67
ENSGDEMO000272,GENE0272,2242,18,19,19,31,9,32
ENSGDEMO000273,GENE0273,1582,5,4,5,3,2,1
ENSGDEMO000274,GENE0274,7897,18,98,30,30,8,85
ENSGDEMO000275,GENE0275,3681,42,31,24,108,83,63
ENSGDEMO000276,GENE0276,3640,0,4,2,2,1,1
ENSGDEMO000277,GENE0277,6854,98,336,124,508,123,431
ENSGDEMO000278,GENE0278,3713,163,198,196,273,226,204
ENSGDEMO000279,GENE0279,3235,109,401,179,325,191,112
ENSGDEMO000280,GENE0280,3717,169,125,151,99,81,154
ENSGDEMO000281,GENE0281,7737,175,193,199,243,154,243
ENSGDEMO000282,GENE0282,1781,391,606,276,583,148,460
ENSGDEMO000283,GENE0283,2292,14,33,16,45,28,26
ENSGDEMO000284,GENE0284,5310,169,187,195,159,92,157
ENSGDEMO000285,GENE0285,3691,97,184,48,190,74,48
ENSGDEMO000286,GENE0286,6790,230,337,292,372,121,106
ENSGDEMO000287,GENE0287,2112,124,64,42,122,53,65
ENSGDEMO000288,GENE0288,5342,148,125,88,150,130,248
ENSGDEMO000289,GENE0289,7503,4,14,12,13,12,16
ENSGDEMO000290,GENE0290,4249,5,5,3,7,4,6
ENSGDEMO000291,GENE0291,5006,4,9,12,29,24,15
ENSGDEMO000292,GENE0292,607,62,74,40,74,87,102
ENSGDEMO000293,GENE0293,4567,10,13,28,25,21,18
ENSGDEMO000294,GENE0294,5180,46,96,56,82,32,66
ENSGDEMO000295,GENE0295,2322,188,145,89,203,232,105
ENSGDEMO000296,GENE0296,2603,380,235,253,464,261,156
ENSGDEMO000297,GENE0297,5965,234,524,375,590,98,201
ENSGDEMO000298,GENE0298,1856,12,10,6,7,3,20
ENSGDEMO000299,GENE0299,2989,130,229,229,226,192,167
ENSGDEMO000300,GENE0300,6779,53,78,62,121,22,39
ENSGDEMO000301,GENE0301,6130,46,76,60,136,66,151
ENSGDEMO000302,GENE0302,6301,229,256,207,440,126,467
ENSGDEMO000303,GENE0303,2196,66,33,39,81,24,45
ENSGDEMO000304,GENE0304,683,188,288,223,427,181,167
ENSGDEMO000305,GENE0305,4862,131,122,106,168,276,117
ENSGDEMO000306,GENE0306,5174,151,374,247,131,208,162
ENSGDEMO000307,GENE0307,7662,66,233,84,395,131,132
ENSGDEMO000308,GENE0308,1933,177,212,94,214,177,93
ENSGDEMO000309,GENE0309,1514,219,1066,237,295,425,490
ENSGDEMO000310,GENE0310,5902,97,64,84,59,21,71
ENSGDEMO000311,GENE0311,4214,84,45,20,52,64,68
ENSGDEMO000312,GENE0312,7213,137,59,114,75,88,104
ENSGDEMO000313,GENE0313,4285,72,62,85,133,142,138
ENSGDEMO000314,GENE0314,5747,245,439,397,212,247,752
ENSGDEMO000315,GENE0315,2016,183,356,421,473,382,356
ENSGDEMO000316,GENE0316,3442,110,159,48,219,84,282
ENSGDEMO000317,GENE0317,4400,199,202,150,242,123,401
ENSGDEMO000318,GENE0318,5314,391,332,107,204,174,318
ENSGDEMO000319,GENE0319,3264,96,384,349,257,62,199
ENSGDEMO000320,GENE0320,5444,101,97,67,188,168,165
ENSGDEMO000321,GENE0321,5468,92,307,414,482,389,494
ENSGDEMO000322,GENE0322,1226,211,518,237,393,244,154
ENSGDEMO000323,GENE0323,3837,69,57,207,77,50,95
ENSGDEMO000324,GENE0324,1417,22,55,70,68,57,59
ENSGDEMO000325,GENE0325,6736,291,585,437,637,318,357
ENSGDEMO000326,GENE0326,1907,69,77,45,78,46,35
ENSGDEMO000327,GENE0327,2117,6,2,2,4,2,8
ENSGDEMO000328,GENE0328,4817,3,21,14,7,9,20
ENSGDEMO000329,GENE0329,6317,14,8,4,10,3,15
ENSGDEMO000330,GENE0330,6325,3,5,3,3,3,7
ENSGDEMO000331,GENE0331,3554,19,111,60,215,63,56
ENSGDEMO000332,GENE0332,4200,8,33,18,29,3,40
ENSGDEMO000333,GENE0333,4430,57,62,76,72,43,88
ENSGDEMO000334,GENE0334,1851,97,156,221,143,127,136
ENSGDEMO000335,GENE0335,1536,16,18,25,31,34,21
ENSGDEMO000336,GENE0336,1294,9,18,16,37,22,10
ENSGDEMO000337,GENE0337,4430,105,112,50,70,88,131
ENSGDEMO000338,GENE0338,3809,12,19,21,40,6,28
ENSGDEMO000339,GENE0339,6462,27,65,118,176,48,71
ENSGDEMO000340,GENE0340,6949,460,264,334,378,191,227
ENSGDEMO000341,GENE0341,1594,130,61,162,84,34,70
ENSGDEMO000342,GENE0342,7852,140,182,192,193,78,328
ENSGDEMO000343,GENE0343,3776,227,105,98,333,73,169
ENSGDEMO000344,GENE0344,3423,19,22,34,36,15,35
ENSGDEMO000345,GENE0345,1789,55,30,67,79,61,72
ENSGDEMO000346,GENE0346,5502,173,245,113,195,15,124
ENSGDEMO000347,GENE0347,5175,71,296,42,144,178,87
ENSGDEMO000348,GENE0348,6919,592,444,309,555,172,689
ENSGDEMO000349,GENE0349,5676,101,158,76,176,122,223
ENSGDEMO000350,GENE0350,6676,51,141,205,328,124,70
ENSGDEMO000351,GENE0351,5753,4,9,4,9,5,5
ENSGDEMO000352,GENE0352,2313,91,130,35,41,69,180
ENSGDEMO000353,GENE0353,1585,10,21,1,13,15,10
ENSGDEMO000354,GENE0354,3217,27,14,5,18,24,17
ENSGDEMO000355,GENE0355,3635,47,39,56,112,116,90
ENSGDEMO000356,GENE0356,2858,66,63,49,91,38,34
ENSGDEMO000357,GENE0357,5648,392,262,182,509,240,542
ENSGDEMO000358,GENE0358,6193,157,265,92,206,158,92
ENSGDEMO000359,GENE0359,2984,2,19,13,8,18,12
ENSGDEMO000360,GENE0360,2001,276,616,385,449,148,238
ENSGDEMO000361,GENE0361,6408,13,21,25,34,26,23
ENSGDEMO000362,GENE0362,5314,41,73,54,57,35,35
ENSGDEMO000363,GENE0363,1100,461,724,212,557,205,435
ENSGDEMO000364,GENE0364,1311,49,145,74,112,71,237
ENSGDEMO000365,GENE0365,2288,94,41,56,85,65,163
ENSGDEMO000366,GENE0366,7231,598,528,504,952,301,896
ENSGDEMO000367,GENE0367,3332,61,70,126,85,93,143
ENSGDEMO000368,GENE0368,3048,22,38,40,38,21,33
ENSGDEMO000369,GENE0369,6307,0,1,0,0,0,0
ENSGDEMO000370,GENE0370,1058,185,246,86,204,148,156
ENSGDEMO000371,GENE0371,5998,37,166,419,237,195,250
ENSGDEMO000372,GENE0372,6928,77,118,125,235,58,188
ENSGDEMO000373,GENE0373,5837,94,127,270,317,150,167
ENSGDEMO000374,GENE0374,5731,102,121,267,323,95,268
ENSGDEMO000375,GENE0375,2567,32,48,20,58,30,58
ENSGDEMO000376,GENE0376,581,29,58,27,61,23,59
ENSGDEMO000377,GENE0377,6911,30,151,136,131,49,96
ENSGDEMO000378,GENE0378,6956,52,38,38,121,29,67
ENSGDEMO000379,GENE0379,3311,168,233,149,124,178,216
ENSGDEMO000380,GENE0380,6354,62,60,49,143,36,65
ENSGDEMO000381,GENE0381,2403,381,219,173,500,313,333
ENSGDEMO000382,GENE0382,3114,487,878,760,863,677,728
ENSGDEMO000383,GENE0383,6449,13,42,33,27,13,11
ENSGDEMO000384,GENE0384,5167,433,497,481,532,228,960
ENSGDEMO000385,GENE0385,825,49,41,42,43,27,26
ENSGDEMO000386,GENE0386,7695,378,584,233,347,380,165
ENSGDEMO000387,GENE0387,6074,24,19,24,25,38,45
ENSGDEMO000388,GENE0388,1484,13,17,15,37,9,40
ENSGDEMO000389,GENE0389,3980,573,1124,291,320,333,388
ENSGDEMO000390,GENE0390,843,14,14,4,15,13,17
ENSGDEMO000391,GENE0391,4316,35,35,22,85,70,38
ENSGDEMO000392,GENE0392,1878,398,473,220,374,641,716
ENSGDEMO000393,GENE0393,6836,75,73,84,214,42,145
ENSGDEMO000394,GENE0394,6918,35,22,19,11,15,8
ENSGDEMO000395,GENE0395,7203,34,11,17,49,11,32
ENSGDEMO000396,GENE0396,2734,191,171,101,493,183,352
ENSGDEMO000397,GENE0397,4663,206,317,136,275,105,354
ENSGDEMO000398,GENE0398,5877,33,31,82,37,30,145
ENSGDEMO000399,GENE0399,6201,478,617,155,527,98,887
ENSGDEMO000400,GENE0400,5041,69,97,78,95,152,103
ENSGDEMO000401,GENE0401,1392,559,465,402,889,583,449
ENSGDEMO000402,GENE0402,6559,358,365,181,369,218,370
ENSGDEMO000403,GENE0403,2483,5,8,11,27,11,23
ENSGDEMO000404,GENE0404,7138,94,142,115,350,93,258
ENSGDEMO000405,GENE0405,3655,82,121,68,140,118,117
ENSGDEMO000406,GENE0406,3766,516,795,407,518,413,1259
ENSGDEMO000407,GENE0407,4167,150,547,367,364,144,210
ENSGDEMO000408,GENE0408,3242,309,208,261,182,264,532
ENSGDEMO000409,GENE0409,5658,82,176,115,166,96,387
ENSGDEMO000410,GENE0410,4174,46,144,101,59,26,51
ENSGDEMO000411,GENE0411,6905,66,99,78,90,50,121
ENSGDEMO000412,GENE0412,4287,6,2,14,12,4,6
ENSGDEMO000413,GENE0413,5794,191,79,365,159,182,117
ENSGDEMO000414,GENE0414,1498,86,89,143,123,177,65
ENSGDEMO000415,GENE0415,7188,24,74,22,36,18,56
ENSGDEMO000416,GENE0416,3102,15,61,81,67,39,87
ENSGDEMO000417,GENE0417,4846,163,122,114,174,59,62
ENSGDEMO000418,GENE0418,725,82,98,124,131,83,79
ENSGDEMO000419,GENE0419,7769,283,208,433,313,192,398
ENSGDEMO000420,GENE0420,559,63,63,53,42,67,75
ENSGDEMO000421,GENE0421,6426,90,86,154,183,84,164
ENSGDEMO000422,GENE0422,3087,264,227,112,127,188,346
ENSGDEMO000423,GENE0423,4278,29,48,63,43,24,49
ENSGDEMO000424,GENE0424,5017,164,113,81,230,185,162
ENSGDEMO000425,GENE0425,5138,42,90,15,56,52,70
ENSGDEMO000426,GENE0426,3828,4,28,7,4,8,31
ENSGDEMO000427,GENE0427,7871,101,211,247,225,128,233
ENSGDEMO000428,GENE0428,6768,431,809,435,279,384,458
ENSGDEMO000429,GENE0429,3373,13,27,15,67,10,18
ENSGDEMO000430,GENE0430,2634,22,34,38,131,69,39
ENSGDEMO000431,GENE0431,2756,111,139,170,180,190,280
ENSGDEMO000432,GENE0432,6027,5,42,37,44,27,51
ENSGDEMO000433,GENE0433,5387,332,184,416,173,209,220
ENSGDEMO000434,GENE0434,3091,48,61,58,78,87,38
